Date,Year,Pump sets,Cumulative pump sets energized,Groundwater_Level,Average Rainfall (mm),POPULATION,RURAL_POPULATION,URBAN_POPULATION,GROWTH_RATE_PERCENT
2000-01-01,2000,128234.0,12823480.0,15.0,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-02,2000,128752.20765027322,12824348.573770491,14.92,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-03,2000,129270.41530054645,12825217.147540985,15.28,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-04,2000,129788.62295081968,12826085.721311476,14.64,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-05,2000,130306.8306010929,12826954.295081967,14.68,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-06,2000,130825.03825136612,12827822.86885246,15.14,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-07,2000,131343.24590163934,12828691.44262295,14.62,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-08,2000,131861.45355191256,12829560.016393442,14.98,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-09,2000,132379.6612021858,12830428.590163937,15.5,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-10,2000,132897.868852459,12831297.163934426,14.66,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-11,2000,133416.07650273223,12832165.737704918,15.34,5.2,2459676.0,502757.0,1956918.0,18.59
2000-01-12,2000,133934.28415300546,12833034.31147541,15.2,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-13,2000,134452.49180327868,12833902.885245902,15.29,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-14,2000,134970.6994535519,12834771.459016394,15.13,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-15,2000,135488.90710382513,12835640.032786883,14.88,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-16,2000,136007.11475409835,12836508.606557377,15.2,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-17,2000,136525.32240437157,12837377.180327868,15.01,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-18,2000,137043.5300546448,12838245.75409836,14.82,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-19,2000,137561.73770491802,12839114.327868853,15.34,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-20,2000,138079.94535519124,12839982.901639344,15.38,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-21,2000,138598.15300546447,12840851.475409836,14.99,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-22,2000,139116.3606557377,12841720.049180329,14.95,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-23,2000,139634.56830601091,12842588.62295082,14.7,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-24,2000,140152.77595628417,12843457.196721312,14.82,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-25,2000,140670.9836065574,12844325.770491805,15.94,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-26,2000,141189.1912568306,12845194.344262294,14.75,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-27,2000,141707.39890710384,12846062.918032788,15.37,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-28,2000,142225.60655737706,12846931.49180328,14.88,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-29,2000,142743.81420765028,12847800.06557377,14.71,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-30,2000,143262.0218579235,12848668.639344262,14.95,0.0,2459676.0,502757.0,1956918.0,18.59
2000-01-31,2000,143780.22950819673,12849537.213114752,14.66,0.0,2459676.0,502757.0,1956918.0,18.59
2000-02-01,2000,144298.43715846995,12850405.786885248,17.58,0.0,2459676.0,502757.0,1956918.0,18.59
2000-02-02,2000,144816.64480874318,12851274.360655738,17.42,0.0,2459676.0,502757.0,1956918.0,18.59
