YEAR,MONTH,DISTRICT,Previous Year Avg WL in mts below ground level,Current Year Avg WL in mts below ground level,Rise,Fall
2014,1,Coimbatore,13.17,15.22,2.05,
2014,2,Coimbatore,13.58,15.98,,2.4
2014,3,Coimbatore,13.71,15.56,,1.85
2014,4,Coimbatore,11.1,16.89,,5.79
2014,5,Coimbatore,14.17,16.15,,1.45
2014,6,Coimbatore,14.7,16.15,,1.45
2014,7,Coimbatore,14.99,16.2,,1.21
2014,8,Coimbatore,14.6,16.05,,1.45
2014,9,Coimbatore,15.31,15.32,,0.01
2014,10,Coimbatore,15.76,14.54,1.22,
2014,11,Coimbatore,14.85,13.24,1.61,
2014,12,Coimbatore,14.35,11.9,2.45,
2015,1,Coimbatore,14.75,11.4,3.35,
2015,2,Coimbatore,15.42,12.57,2.85,
2015,3,Coimbatore,15.52,12.92,2.6,
2015,4,Coimbatore,16.06,13.81,2.25,
2015,5,Coimbatore,16.15,13.69,2.46,
2015,6,Coimbatore,15.87,13.12,2.75,
2015,7,Coimbatore,16.2,13.01,3.19,
2015,8,Coimbatore,16.01,13.14,2.87,
2015,9,Coimbatore,15.32,12.09,3.23,
2015,10,Coimbatore,14.85,12,2.85,
2015,11,Coimbatore,13.51,11.58,1.93,
2015,12,Coimbatore,11.87,11.61,0.26,
2016,1,Coimbatore,11.4,11.48,,0.08
2016,2,Coimbatore,12.57,11.89,0.68,
2016,3,Coimbatore,12.92,12.81,0.11,
2016,4,Coimbatore,13.81,13.46,0.35,
2016,5,Coimbatore,13.69,14.06,,0.37
2016,6,Coimbatore,13.12,14.46,,1.34
2016,7,Coimbatore,13.01,14.95,,1.94
2016,8,Coimbatore,13.14,14.31,,1.17
2016,9,Coimbatore,12.09,15.31,,3.22
2016,10,Coimbatore,12,16.05,,4.05
2016,11,Coimbatore,11.58,16.14,,4.56
2016,12,Coimbatore,11.61,16.08,,4.47
2017,1,Coimbatore,11.48,16.67,,5.19
2017,2,Coimbatore,11.89,16.85,,4.96
2017,3,Coimbatore,12.81,17.4,,4.59
2017,4,Coimbatore,13.46,17.5,,4.04
2017,5,Coimbatore,14.06,17.87,,3.81
2017,6,Coimbatore,14.46,17.63,,3.17
2017,7,Coimbatore,14.95,17.86,,2.91
2017,8,Coimbatore,14.31,18.02,,3.71
2017,9,Coimbatore,15.31,17.72,,2.41
2017,10,Coimbatore,16.05,16.27,,0.22
2017,11,Coimbatore,16.14,15.42,0.72,
2017,12,Coimbatore,16.08,15.59,0.49,
2018,1,Coimbatore,16.67,15.65,1.02,
2018,2,Coimbatore,16.85,15.61,1.24,
2018,3,Coimbatore,17.4,16.12,1.28,
2018,4,Coimbatore,17.5,16.52,0.98,
2018,5,Coimbatore,17.87,16.65,1.22,
2018,6,Coimbatore,17.63,15.96,1.67,0.05
2018,7,Coimbatore,17.86,15.44,2.42,
2018,8,Coimbatore,18.02,14.23,3.79,
2018,9,Coimbatore,17.72,13.78,3.94,
2018,10,Coimbatore,16.27,13.35,2.92,
2018,11,Coimbatore,15.42,12.37,3.05,
2018,12,Coimbatore,15.59,12.34,3.25,
2019,1,Coimbatore,15.65,12.09,3.56,
2019,2,Coimbatore,15.61,12.2,3.41,
2019,3,Coimbatore,16.12,12.84,3.2,
2019,4,Coimbatore,16.52,13.57,2.95,
2019,5,Coimbatore,16.65,14.11,2.54,
2019,6,Coimbatore,15.96,13.94,2.02,
2019,7,Coimbatore,15.44,14.61,0.83,0.01
2019,8,Coimbatore,14.23,14.28,,
2019,9,Coimbatore,13.78,13.04,0.74,1.21
2019,10,Coimbatore,13.35,12.8,0.55,1.41
2019,11,Coimbatore,12.37,11.08,1.29,0.41
2019,12,Coimbatore,12.34,10.34,2,
2020,1,Coimbatore,12.03,10.86,1.17,
2020,2,Coimbatore,12.2,11.33,0.87,
2020,3,Coimbatore,12.84,11.72,1.12,
2020,4,Coimbatore,13.57,12.38,1.19,
2020,5,Coimbatore,14.11,12.84,1.27,
2020,6,Coimbatore,13.94,12.88,1.06,
2020,7,Coimbatore,14.61,13.36,1.25,
2020,8,Coimbatore,14.28,13.34,0.94,0.39
2020,9,Coimbatore,13.04,13.05,,
2020,10,Coimbatore,12.8,12.5,0.3,
2020,11,Coimbatore,11.08,12.29,,
2020,12,Coimbatore,10.34,11.75,,
2021,1,Coimbatore,10.86,11.27,,
2021,2,Coimbatore,11.33,11.27,0.06,
2021,3,Coimbatore,11.72,11.16,0.56,
2021,4,Coimbatore,12.38,12.03,0.35,
2021,5,Coimbatore,12.84,12.65,0.19,
2021,6,Coimbatore,12.88,12.67,0.21,
2021,7,Coimbatore,13.36,12.87,0.49,
2021,8,Coimbatore,13.34,12.75,0.59,
2021,9,Coimbatore,13.05,12.54,0.51,
2021,10,Coimbatore,12.5,12.89,,
2021,11,Coimbatore,12.29,12.09,0.2,
2021,12,Coimbatore,11.75,9.81,1.94,
2022,1,Coimbatore,11.27,10.09,1.18,
2022,2,Coimbatore,11.27,9.93,1.34,
2022,3,Coimbatore,11.16,11.05,0.11,
2022,4,Coimbatore,12.03,12.01,0.02,
2022,5,Coimbatore,12.65,11.13,1.52,1.2
2022,6,Coimbatore,12.67,11.53,1.14,1.75
2022,7,Coimbatore,12.87,11.47,1.4,3.15
2022,8,Coimbatore,12.75,10.99,1.76,2.77
2022,9,Coimbatore,12.54,9.99,2.55,2.84
2022,10,Coimbatore,12.89,10.59,2.3,2.39
2022,11,Coimbatore,12.09,10.24,1.85,1.72
2022,12,Coimbatore,9.81,7.41,2.4,1.55
2023,1,Coimbatore,10.09,7.67,2.42,1.49
2023,2,Coimbatore,9.93,8.25,1.68,1.45
2023,3,Coimbatore,11.16,9.43,1.73,2.34
2023,4,Coimbatore,12.01,10.13,1.88,0.78
2023,5,Coimbatore,12.65,9.94,2.71,
2023,6,Coimbatore,11.53,10.22,1.31,
2023,7,Coimbatore,9.87,11.07,,
2023,8,Coimbatore,8.76,10.51,,
2023,9,Coimbatore,7.64,10.79,,
2023,10,Coimbatore,8.54,11.31,,
2023,11,Coimbatore,8.04,10.88,,
2023,12,Coimbatore,7.45,9.84,,
2024,1,Coimbatore,7.67,9.39,,
2024,2,Coimbatore,8.25,9.8,,
2024,3,Coimbatore,8.7,10.19,,
2024,4,Coimbatore,9.4,10.85,,
2024,5,Coimbatore,9.17,11.51,,
2024,6,Coimbatore,9.49,10.27,,
2024,7,Coimbatore,10.34,9.99,0.35,
2024,8,Coimbatore,12.4,10.85,1.55,
2024,9,Coimbatore,10.75,9.53,1.22,
2024,10,Coimbatore,11.26,10.47,0.79,
2024,11,Coimbatore,10.81,7.89,2.92,
2024,12,Coimbatore,9.78,7.93,1.85,
2025,1,Coimbatore,9.39,8.29,1.1,
2025,2,Coimbatore,9.8,8.76,1.04,
2025,3,Coimbatore,10.19,10.48,,
